pincode,area,state,lat,lon,cell_id,geo_source
125133,Talwara,Haryana,29.6888,75.5387,29.75_75.50,geonames
125201,Jagmalwali,Haryana,29.7287,74.9681,29.75_75.00,geonames
126101,Mehrara,Haryana,29.2599,76.3967,29.25_76.50,geonames
126102,Sindhwi Kheri,Haryana,29.3166,76.293,29.25_76.25,geonames
126110,Dalamwala,Haryana,29.4038,76.4122,29.50_76.50,geonames
126111,Durana,Haryana,29.4136,76.4247,29.50_76.50,geonames
126112,Bagru Kalan,Haryana,29.3378,76.5923,29.25_76.50,geonames
126113,Ludana,Haryana,29.3313,76.434,29.25_76.50,geonames
126114,Nidana,Haryana,29.2495,76.3605,29.25_76.25,geonames
126115,Kakrod,Haryana,29.4422,76.1858,29.50_76.25,geonames
126116,Kharal,Haryana,29.6479,76.0988,29.75_76.00,geonames
126125,Chuharpur,Haryana,29.4805,76.3128,29.50_76.25,geonames
127021,Lohar Bazar,Haryana,28.6418,75.9763,28.75_76.00,geonames
127022,Chiriya,Haryana,28.4948,76.2706,28.50_76.25,geonames
127025,Baund,Haryana,28.7792,76.3416,28.75_76.25,geonames
127026,Tiwala,Haryana,28.5905,76.1265,28.50_76.25,geonames
127027,Sai,Haryana,28.8839,76.2535,29.00_76.25,geonames
127028,Mithi,Haryana,28.6816,75.6247,28.75_75.50,geonames
127029,Chandawas,Haryana,28.6815,75.9608,28.75_76.00,geonames
127030,Dhabdhani,Haryana,28.8768,76.0804,29.00_76.00,geonames
127031,Premnagar,Haryana,28.8781,76.1372,29.00_76.25,geonames
127032,Bawani Khera,Haryana,28.9684,76.0639,29.00_76.00,geonames
127040,Dulheri,Haryana,28.8716,75.8278,28.75_75.75,geonames
127041,Siwana,Haryana,28.9886,76.1204,29.00_76.00,geonames
127042,Misri,Haryana,28.7154,76.307,28.75_76.25,geonames
127045,Barwa,Haryana,28.9638,75.6054,29.00_75.50,geonames
127046,Ghanghala,Haryana,28.8679,75.601,28.75_75.50,geonames
127111,Dinod,Haryana,28.8076,76.0341,28.75_76.00,geonames
127114,Bamla,Haryana,28.818,76.2743,28.75_76.25,geonames
127201,Loharu,Haryana,28.5644,75.7849,28.50_75.75,geonames
127306,Charkhi  Dadri Hsg-ii,Haryana,28.606,76.3017,28.50_76.25,geonames
127307,Bhagwi,Haryana,28.6402,76.3867,28.75_76.50,geonames
127308,Khorda,Haryana,28.5171,76.1486,28.50_76.25,geonames
127309,Manheru,Haryana,28.7977,76.1671,28.75_76.25,geonames
127310,Pichopa Kalan,Haryana,28.5039,76.0992,28.50_76.00,geonames
127312,Berla,Haryana,28.4907,76.0275,28.50_76.00,geonames
131001,"Model Town,Sonipat",Haryana,28.9871,76.9937,29.00_77.00,geonames
131021,Qumaspur,Haryana,29.0714,76.8319,29.00_76.75,geonames
131023,Jhundpur,Haryana,28.9197,77.1594,29.00_77.25,geonames
131027,Malikpur,Haryana,29.0563,76.9328,29.00_77.00,geonames
131028,Sersa,Haryana,28.8664,77.1436,28.75_77.25,geonames
131029,Rai,Haryana,29.0577,76.9809,29.00_77.00,geonames
131030,TDI City Kundli,Haryana,29.098,77.0684,29.00_77.00,geonames
131039,Larsauli,Haryana,29.098,77.0684,29.00_77.00,geonames
131101,Ghasauli,Haryana,29.1364,77.0297,29.25_77.00,geonames
131102,Panchijatan,Haryana,29.1578,76.8968,29.25_77.00,geonames
131103,Halalpur,Haryana,28.8795,77.0185,29.00_77.00,geonames
131301,Khandrai,Haryana,29.0914,76.7458,29.00_76.75,geonames
131302,Jhs Butana,Haryana,29.2024,76.5766,29.25_76.50,geonames
131402,Rohna,Haryana,28.9076,76.9107,29.00_77.00,geonames
131403,Rohat (Sonipat),Haryana,29.0362,76.8985,29.00_77.00,geonames
131408,Garhi Sisana ED,Haryana,29.0438,76.777,29.00_76.75,geonames
132001,Karnal Sadar Bazar,Haryana,29.6875,76.8847,29.75_77.00,geonames
132022,Khirajpur,Haryana,29.7169,77.0947,29.75_77.00,geonames
132023,Tikri,Haryana,29.7355,77.0093,29.75_77.00,geonames
132024,Manjura,Haryana,29.6966,76.7901,29.75_76.75,geonames
132036,Padha,Haryana,29.6205,76.8627,29.50_76.75,geonames
132037,Ranwar,Haryana,29.6247,77.0141,29.50_77.00,geonames
132039,Mardanheri,Haryana,29.5708,76.6115,29.50_76.50,geonames
132040,Munak,Haryana,29.5187,76.8496,29.50_76.75,geonames
132041,Darar,Haryana,29.842,77.0298,29.75_77.00,geonames
132046,Thari,Haryana,29.5181,76.7243,29.50_76.75,geonames
132054,Dabkoli Kalan,Haryana,29.7093,76.9178,29.75_77.00,geonames
132101,Samalkha,Haryana,29.2561,77.0088,29.25_77.00,geonames
132102,Bhodwal Majri,Haryana,29.1967,77.0158,29.25_77.00,geonames
132103,Panipat N.S.M.,Haryana,29.3882,76.9586,29.50_77.00,geonames
